"","Sub.Question","Question","Response","Freq","Percent","Count","Type"
"277","Deactivate the function showing your geographical position (on Facebook, Google Maps, etc?)","431.2 - Competencies with digital life - Deactivate the function showing your geographical position (on Facebook, Google Maps, etc?)","6:  Don't know",320,16,6,"Likert"
"278","Deactivate the function showing your geographical position (on Facebook, Google Maps, etc?)","431.2 - Competencies with digital life - Deactivate the function showing your geographical position (on Facebook, Google Maps, etc?)","4:  Difficult",333,16.65,6,"Likert"
"279","Deactivate the function showing your geographical position (on Facebook, Google Maps, etc?)","431.2 - Competencies with digital life - Deactivate the function showing your geographical position (on Facebook, Google Maps, etc?)","1: Very easy",339,16.95,6,"Likert"
"280","Deactivate the function showing your geographical position (on Facebook, Google Maps, etc?)","431.2 - Competencies with digital life - Deactivate the function showing your geographical position (on Facebook, Google Maps, etc?)","3:  Neither easy nor difficult",336,16.8,6,"Likert"
"281","Deactivate the function showing your geographical position (on Facebook, Google Maps, etc?)","431.2 - Competencies with digital life - Deactivate the function showing your geographical position (on Facebook, Google Maps, etc?)","2:  Easy",324,16.2,6,"Likert"
"282","Delete the record of which sites you have visited","431.16 - Competencies with digital life - Delete the record of which sites you have visited","5:  Very difficult",323,16.15,6,"Likert"
"283","Delete the record of which sites you have visited","431.16 - Competencies with digital life - Delete the record of which sites you have visited","4:  Difficult",320,16,6,"Likert"
"284","Delete the record of which sites you have visited","431.16 - Competencies with digital life - Delete the record of which sites you have visited","2:  Easy",366,18.3,6,"Likert"
"285","Delete the record of which sites you have visited","431.16 - Competencies with digital life - Delete the record of which sites you have visited","6:  Don't know",349,17.45,6,"Likert"
"286","Delete the record of which sites you have visited","431.16 - Competencies with digital life - Delete the record of which sites you have visited","3:  Neither easy nor difficult",332,16.6,6,"Likert"
"287","Delete the record of which sites you have visited","431.16 - Competencies with digital life - Delete the record of which sites you have visited","1: Very easy",310,15.5,6,"Likert"
"298","Due to the information I found and people I have met online I feel more connected with religion or spiritual beliefs","341.4 - Difference seeking - Due to the information I found and people I have met online I feel more connected with religion or spiritual beliefs","3:  Neither agree nor disagree",282,14.1,7,"Likert"
"299","Due to the information I found and people I have met online I feel more connected with religion or spiritual beliefs","341.4 - Difference seeking - Due to the information I found and people I have met online I feel more connected with religion or spiritual beliefs","7:  Don't know",275,13.75,7,"Likert"
"300","Due to the information I found and people I have met online I feel more connected with religion or spiritual beliefs","341.4 - Difference seeking - Due to the information I found and people I have met online I feel more connected with religion or spiritual beliefs","4:  Somewhat agree",299,14.95,7,"Likert"
"301","Due to the information I found and people I have met online I feel more connected with religion or spiritual beliefs","341.4 - Difference seeking - Due to the information I found and people I have met online I feel more connected with religion or spiritual beliefs","1: Disagree strongly",271,13.55,7,"Likert"
"302","Due to the information I found and people I have met online I feel more connected with religion or spiritual beliefs","341.4 - Difference seeking - Due to the information I found and people I have met online I feel more connected with religion or spiritual beliefs","5:  Agree strongly",301,15.05,7,"Likert"
"303","Due to the information I found and people I have met online I feel more connected with religion or spiritual beliefs","341.4 - Difference seeking - Due to the information I found and people I have met online I feel more connected with religion or spiritual beliefs","6:  Not applicable (NA)",263,13.15,7,"Likert"
"304","Due to the information I found and people I have met online I feel more connected with religion or spiritual beliefs","341.4 - Difference seeking - Due to the information I found and people I have met online I feel more connected with religion or spiritual beliefs","2:  Somewhat disagree",309,15.45,7,"Likert"
"305","Encourage you to explore and learn things on the internet?","432.3 - Peer mediation - Encourage you to explore and learn things on the internet?","6:  Several times per day",284,14.2,7,"Likert"
"306","Encourage you to explore and learn things on the internet?","432.3 - Peer mediation - Encourage you to explore and learn things on the internet?","7:  Don't know",247,12.35,7,"Likert"
"307","Encourage you to explore and learn things on the internet?","432.3 - Peer mediation - Encourage you to explore and learn things on the internet?","2:  Less than Once a Month",289,14.45,7,"Likert"
"308","Encourage you to explore and learn things on the internet?","432.3 - Peer mediation - Encourage you to explore and learn things on the internet?","1: Never",283,14.15,7,"Likert"
"311","Encourage you to explore and learn things on the internet?","432.3 - Peer mediation - Encourage you to explore and learn things on the internet?","3:  Monthly",301,15.05,7,"Likert"
"312","Encourage you to explore and learn things on the internet?","432.3 - Peer mediation - Encourage you to explore and learn things on the internet?","5:  Daily",319,15.95,7,"Likert"
"313","Encourage you to explore and learn things on the internet?","432.3 - Peer mediation - Encourage you to explore and learn things on the internet?","4:  Weekly",277,13.85,7,"Likert"
"315","Explained why some websites are good or bad","432.4 - Peer mediation - Explained why some websites are good or bad","4:  Weekly",274,13.7,7,"Likert"
"317","Explained why some websites are good or bad","432.4 - Peer mediation - Explained why some websites are good or bad","2:  Less than Once a Month",262,13.1,7,"Likert"
"318","Explained why some websites are good or bad","432.4 - Peer mediation - Explained why some websites are good or bad","5:  Daily",277,13.85,7,"Likert"
"321","Explained why some websites are good or bad","432.4 - Peer mediation - Explained why some websites are good or bad","3:  Monthly",304,15.2,7,"Likert"
"322","Explained why some websites are good or bad","432.4 - Peer mediation - Explained why some websites are good or bad","7:  Don't know",287,14.35,7,"Likert"
"323","Explained why some websites are good or bad","432.4 - Peer mediation - Explained why some websites are good or bad","1: Never",289,14.45,7,"Likert"
"324","Explained why some websites are good or bad","432.4 - Peer mediation - Explained why some websites are good or bad","6:  Several times per day",307,15.35,7,"Likert"
"325","Family","287.1 - Maintenance of online networks - Family","2:  Moderately important",501,25.05,4,"Likert"
"326","Family","287.1 - Maintenance of online networks - Family","1: Very important",518,25.9,4,"Likert"
"327","Family","287.1 - Maintenance of online networks - Family","4:  Don't know",498,24.9,4,"Likert"
"328","Family","287.1 - Maintenance of online networks - Family","3:  Not important at all",483,24.15,4,"Likert"
"338","Fill out a questionnaire related to your health","352.6 - Health - Fill out a questionnaire related to your health","5:  Daily",326,16.3,7,"Likert"
"339","Fill out a questionnaire related to your health","352.6 - Health - Fill out a questionnaire related to your health","2:  Less than Once a Month",294,14.7,7,"Likert"
"340","Fill out a questionnaire related to your health","352.6 - Health - Fill out a questionnaire related to your health","4:  Weekly",291,14.55,7,"Likert"
